domain,verifier,strategy,other_Adj_FPR,self_Adj_FPR,Adj_FPR_Self_Bias,other_Adj_FNR,self_Adj_FNR,Adj_FNR_Self_Bias
science,deepseek,cot,0.33432835820895523,0.3641791044776119,0.02985074626865669,0.35094339622641507,0.3471698113207547,-0.0037735849056603765
science,deepseek,direct,0.41492537313432837,0.417910447761194,0.002985074626865647,0.30943396226415093,0.2943396226415094,-0.015094339622641506
science,deepseek,rubric,0.34626865671641793,0.3611940298507463,0.014925373134328346,0.38113207547169814,0.38113207547169814,0.0
science,llama,cot,0.5671641791044776,0.5014925373134328,-0.06567164179104479,0.21132075471698114,0.2528301886792453,0.04150943396226414
science,llama,direct,0.6179104477611941,0.5850746268656717,-0.032835820895522394,0.21132075471698114,0.22641509433962265,0.015094339622641506
science,llama,rubric,0.5582089552238806,0.4835820895522388,-0.07462686567164178,0.23773584905660378,0.28679245283018867,0.049056603773584895
science,mistral,cot,0.7731343283582089,0.7791044776119403,0.005970149253731405,0.1471698113207547,0.12075471698113208,-0.026415094339622636
science,mistral,direct,0.9253731343283582,0.9253731343283582,0.0,0.03773584905660377,0.04150943396226415,0.0037735849056603765
science,mistral,rubric,0.7044776119402985,0.7253731343283583,0.020895522388059806,0.22264150943396227,0.1471698113207547,-0.07547169811320756
science,qwen,cot,0.5552238805970149,0.5761194029850746,0.020895522388059695,0.22641509433962265,0.24528301886792453,0.018867924528301883
science,qwen,direct,0.5761194029850746,0.5671641791044776,-0.008955223880596996,0.25660377358490566,0.26037735849056604,0.0037735849056603765
science,qwen,rubric,0.5462686567164179,0.5671641791044776,0.020895522388059695,0.2339622641509434,0.2528301886792453,0.018867924528301883
