domain,verifier,strategy,other_Adj_FPR,self_Adj_FPR,Adj_FPR_Self_Bias,other_Adj_FNR,self_Adj_FNR,Adj_FNR_Self_Bias
code,deepseek,cot,0.2727272727272727,0.25806451612903225,-0.014662756598240456,0.031476997578692496,0.03864734299516908,0.007170345416476584
code,deepseek,direct,0.1837837837837838,0.16129032258064516,-0.022493461203138637,0.033734939759036145,0.04106280193236715,0.007327862173331007
code,deepseek,rubric,0.24456521739130435,0.24731182795698925,0.0027466105656848983,0.036057692307692304,0.028985507246376812,-0.0070721850613154925
code,llama,cot,0.18716577540106952,0.125,-0.06216577540106952,0.03389830508474576,0.057692307692307696,0.023794002607561933
code,llama,direct,0.3279569892473118,0.2956989247311828,-0.032258064516129004,0.04106280193236715,0.04589371980676329,0.004830917874396136
code,llama,rubric,0.22162162162162163,0.13903743315508021,-0.08258418846654142,0.043373493975903614,0.05569007263922518,0.012316578663321566
code,mistral,cot,0.13432835820895522,0.13333333333333333,-0.0009950248756218916,0.3684210526315789,0.3160493827160494,-0.05237166991552955
code,mistral,direct,0.03208556149732621,0.03225806451612903,0.00017250301880282481,0.026634382566585957,0.021739130434782608,-0.004895252131803349
code,mistral,rubric,0.12093023255813953,0.12322274881516587,0.002292516257026339,0.4701298701298701,0.43444730077120824,-0.035682569358661875
code,qwen,cot,0.2810810810810811,0.22702702702702704,-0.05405405405405406,0.016867469879518072,0.014457831325301205,-0.0024096385542168672
code,qwen,direct,0.08152173913043478,0.0967741935483871,0.01525245441795231,0.016826923076923076,0.016908212560386472,8.128948346339607e-05
code,qwen,rubric,0.2810810810810811,0.2702702702702703,-0.010810810810810811,0.014457831325301205,0.00963855421686747,-0.0048192771084337345
