domain,verifier,strategy,other_Adj_FPR,self_Adj_FPR,Adj_FPR_Self_Bias,other_Adj_FNR,self_Adj_FNR,Adj_FNR_Self_Bias
code,deepseek,cot,0.2727272727272727,0.25806451612903225,-0.014662756598240456,0.031476997578692496,0.03864734299516908,0.007170345416476584
code,deepseek,direct,0.1837837837837838,0.16129032258064516,-0.022493461203138637,0.033734939759036145,0.04106280193236715,0.007327862173331007
code,deepseek,rubric,0.24456521739130435,0.24731182795698925,0.0027466105656848983,0.036057692307692304,0.028985507246376812,-0.0070721850613154925
code,llama,cot,0.18716577540106952,0.125,-0.06216577540106952,0.03389830508474576,0.057692307692307696,0.023794002607561933
code,llama,direct,0.3279569892473118,0.2956989247311828,-0.032258064516129004,0.04106280193236715,0.04589371980676329,0.004830917874396136
code,llama,rubric,0.22162162162162163,0.13903743315508021,-0.08258418846654142,0.043373493975903614,0.05569007263922518,0.012316578663321566
code,mistral,cot,0.13432835820895522,0.13333333333333333,-0.0009950248756218916,0.3684210526315789,0.3160493827160494,-0.05237166991552955
code,mistral,direct,0.03208556149732621,0.03225806451612903,0.00017250301880282481,0.026634382566585957,0.021739130434782608,-0.004895252131803349
code,mistral,rubric,0.12093023255813953,0.12322274881516587,0.002292516257026339,0.4701298701298701,0.43444730077120824,-0.035682569358661875
code,qwen,cot,0.2810810810810811,0.22702702702702704,-0.05405405405405406,0.016867469879518072,0.014457831325301205,-0.0024096385542168672
code,qwen,direct,0.08152173913043478,0.0967741935483871,0.01525245441795231,0.016826923076923076,0.016908212560386472,8.128948346339607e-05
code,qwen,rubric,0.2810810810810811,0.2702702702702703,-0.010810810810810811,0.014457831325301205,0.00963855421686747,-0.0048192771084337345
math,deepseek,cot,0.5871212121212122,0.5946969696969697,0.007575757575757569,0.10119047619047619,0.09226190476190477,-0.008928571428571425
math,deepseek,direct,0.6212121212121212,0.625,0.0037878787878787845,0.08630952380952381,0.09523809523809523,0.008928571428571425
math,deepseek,rubric,0.5454545454545454,0.5681818181818182,0.022727272727272818,0.125,0.13392857142857142,0.008928571428571425
math,llama,cot,0.75,0.7310606060606061,-0.018939393939393923,0.03571428571428571,0.03273809523809524,-0.0029761904761904726
math,llama,direct,0.7651515151515151,0.7575757575757576,-0.007575757575757569,0.03273809523809524,0.026785714285714284,-0.0059523809523809555
math,llama,rubric,0.7803030303030303,0.7462121212121212,-0.03409090909090906,0.023809523809523808,0.020833333333333332,-0.002976190476190476
math,mistral,cot,0.8787878787878788,0.9053030303030303,0.02651515151515149,0.047619047619047616,0.03571428571428571,-0.011904761904761904
math,mistral,direct,0.9356060606060606,0.9356060606060606,0.0,0.020833333333333332,0.011904761904761904,-0.008928571428571428
math,mistral,rubric,0.8409090909090909,0.8787878787878788,0.037878787878787845,0.0625,0.05952380952380952,-0.0029761904761904795
math,qwen,cot,0.6856060606060606,0.7083333333333334,0.022727272727272818,0.05357142857142857,0.047619047619047616,-0.005952380952380952
math,qwen,direct,0.6590909090909091,0.6742424242424242,0.015151515151515138,0.06547619047619048,0.0625,-0.0029761904761904795
math,qwen,rubric,0.696969696969697,0.6893939393939394,-0.007575757575757569,0.05654761904761905,0.050595238095238096,-0.005952380952380952
science,deepseek,cot,0.33432835820895523,0.3641791044776119,0.02985074626865669,0.35094339622641507,0.3471698113207547,-0.0037735849056603765
science,deepseek,direct,0.41492537313432837,0.417910447761194,0.002985074626865647,0.30943396226415093,0.2943396226415094,-0.015094339622641506
science,deepseek,rubric,0.34626865671641793,0.3611940298507463,0.014925373134328346,0.38113207547169814,0.38113207547169814,0.0
science,llama,cot,0.5671641791044776,0.5014925373134328,-0.06567164179104479,0.21132075471698114,0.2528301886792453,0.04150943396226414
science,llama,direct,0.6179104477611941,0.5850746268656717,-0.032835820895522394,0.21132075471698114,0.22641509433962265,0.015094339622641506
science,llama,rubric,0.5582089552238806,0.4835820895522388,-0.07462686567164178,0.23773584905660378,0.28679245283018867,0.049056603773584895
science,mistral,cot,0.7731343283582089,0.7791044776119403,0.005970149253731405,0.1471698113207547,0.12075471698113208,-0.026415094339622636
science,mistral,direct,0.9253731343283582,0.9253731343283582,0.0,0.03773584905660377,0.04150943396226415,0.0037735849056603765
science,mistral,rubric,0.7044776119402985,0.7253731343283583,0.020895522388059806,0.22264150943396227,0.1471698113207547,-0.07547169811320756
science,qwen,cot,0.5552238805970149,0.5761194029850746,0.020895522388059695,0.22641509433962265,0.24528301886792453,0.018867924528301883
science,qwen,direct,0.5761194029850746,0.5671641791044776,-0.008955223880596996,0.25660377358490566,0.26037735849056604,0.0037735849056603765
science,qwen,rubric,0.5462686567164179,0.5671641791044776,0.020895522388059695,0.2339622641509434,0.2528301886792453,0.018867924528301883
