domain,verifier,strategy,other_FPR,self_FPR,FPR_Self_Bias,other_FNR,self_FNR,FNR_Self_Bias
code,deepseek,cot,0.2677595628415301,0.2568306010928962,-0.010928961748633892,0.03597122302158273,0.04316546762589928,0.007194244604316551
code,deepseek,direct,0.18579234972677597,0.16393442622950818,-0.021857923497267784,0.03836930455635491,0.047961630695443645,0.009592326139088732
code,deepseek,rubric,0.2459016393442623,0.25136612021857924,0.005464480874316946,0.03836930455635491,0.03597122302158273,-0.0023980815347721812
code,llama,cot,0.17486338797814208,0.12568306010928962,-0.04918032786885246,0.03597122302158273,0.05995203836930456,0.023980815347721826
code,llama,direct,0.3333333333333333,0.29508196721311475,-0.038251366120218566,0.047961630695443645,0.050359712230215826,0.0023980815347721812
code,llama,rubric,0.2185792349726776,0.13114754098360656,-0.08743169398907102,0.045563549160671464,0.05995203836930456,0.014388489208633094
code,mistral,cot,0.12021857923497267,0.1092896174863388,-0.010928961748633878,0.38369304556354916,0.3213429256594724,-0.06235011990407674
code,mistral,direct,0.0273224043715847,0.0273224043715847,0.0,0.03357314148681055,0.026378896882494004,-0.007194244604316547
code,mistral,rubric,0.060109289617486336,0.09289617486338798,0.03278688524590165,0.4748201438848921,0.45083932853717024,-0.02398081534772184
code,qwen,cot,0.28415300546448086,0.22950819672131148,-0.054644808743169376,0.02158273381294964,0.019184652278177457,-0.0023980815347721847
code,qwen,direct,0.08196721311475409,0.08743169398907104,0.005464480874316946,0.019184652278177457,0.019184652278177457,0.0
code,qwen,rubric,0.28415300546448086,0.273224043715847,-0.010928961748633836,0.019184652278177457,0.014388489208633094,-0.0047961630695443624
math,deepseek,cot,0.5871212121212122,0.5946969696969697,0.007575757575757569,0.10119047619047619,0.09226190476190477,-0.008928571428571425
math,deepseek,direct,0.6212121212121212,0.625,0.0037878787878787845,0.08630952380952381,0.09523809523809523,0.008928571428571425
math,deepseek,rubric,0.5454545454545454,0.5681818181818182,0.022727272727272818,0.125,0.13392857142857142,0.008928571428571425
math,llama,cot,0.75,0.7310606060606061,-0.018939393939393923,0.03571428571428571,0.03273809523809524,-0.0029761904761904726
math,llama,direct,0.7651515151515151,0.7575757575757576,-0.007575757575757569,0.03273809523809524,0.026785714285714284,-0.0059523809523809555
math,llama,rubric,0.7803030303030303,0.7462121212121212,-0.03409090909090906,0.023809523809523808,0.020833333333333332,-0.002976190476190476
math,mistral,cot,0.8787878787878788,0.9053030303030303,0.02651515151515149,0.047619047619047616,0.03571428571428571,-0.011904761904761904
math,mistral,direct,0.9356060606060606,0.9356060606060606,0.0,0.020833333333333332,0.011904761904761904,-0.008928571428571428
math,mistral,rubric,0.8409090909090909,0.8787878787878788,0.037878787878787845,0.0625,0.05952380952380952,-0.0029761904761904795
math,qwen,cot,0.6856060606060606,0.7083333333333334,0.022727272727272818,0.05357142857142857,0.047619047619047616,-0.005952380952380952
math,qwen,direct,0.6590909090909091,0.6742424242424242,0.015151515151515138,0.06547619047619048,0.0625,-0.0029761904761904795
math,qwen,rubric,0.696969696969697,0.6893939393939394,-0.007575757575757569,0.05654761904761905,0.050595238095238096,-0.005952380952380952
science,deepseek,cot,0.33432835820895523,0.3641791044776119,0.02985074626865669,0.35094339622641507,0.3471698113207547,-0.0037735849056603765
science,deepseek,direct,0.41492537313432837,0.417910447761194,0.002985074626865647,0.30943396226415093,0.2943396226415094,-0.015094339622641506
science,deepseek,rubric,0.34626865671641793,0.3611940298507463,0.014925373134328346,0.38113207547169814,0.38113207547169814,0.0
science,llama,cot,0.5671641791044776,0.5014925373134328,-0.06567164179104479,0.21132075471698114,0.2528301886792453,0.04150943396226414
science,llama,direct,0.6179104477611941,0.5850746268656717,-0.032835820895522394,0.21132075471698114,0.22641509433962265,0.015094339622641506
science,llama,rubric,0.5582089552238806,0.4835820895522388,-0.07462686567164178,0.23773584905660378,0.28679245283018867,0.049056603773584895
science,mistral,cot,0.7731343283582089,0.7791044776119403,0.005970149253731405,0.1471698113207547,0.12075471698113208,-0.026415094339622636
science,mistral,direct,0.9253731343283582,0.9253731343283582,0.0,0.03773584905660377,0.04150943396226415,0.0037735849056603765
science,mistral,rubric,0.7044776119402985,0.7253731343283583,0.020895522388059806,0.22264150943396227,0.1471698113207547,-0.07547169811320756
science,qwen,cot,0.5552238805970149,0.5761194029850746,0.020895522388059695,0.22641509433962265,0.24528301886792453,0.018867924528301883
science,qwen,direct,0.5761194029850746,0.5671641791044776,-0.008955223880596996,0.25660377358490566,0.26037735849056604,0.0037735849056603765
science,qwen,rubric,0.5462686567164179,0.5671641791044776,0.020895522388059695,0.2339622641509434,0.2528301886792453,0.018867924528301883
