domain,verifier,strategy,other_FPR,self_FPR,FPR_Self_Bias,other_FNR,self_FNR,FNR_Self_Bias
science,deepseek,cot,0.29411764705882354,0.4117647058823529,0.11764705882352938,0.391304347826087,0.34782608695652173,-0.043478260869565244
science,deepseek,direct,0.29411764705882354,0.29411764705882354,0.0,0.17391304347826086,0.17391304347826086,0.0
science,deepseek,rubric,0.23529411764705882,0.29411764705882354,0.05882352941176472,0.391304347826087,0.30434782608695654,-0.08695652173913043
science,llama,cot,0.5294117647058824,0.47058823529411764,-0.05882352941176472,0.21739130434782608,0.21739130434782608,0.0
science,llama,direct,0.6470588235294118,0.5882352941176471,-0.05882352941176472,0.17391304347826086,0.17391304347826086,0.0
science,llama,rubric,0.5294117647058824,0.4117647058823529,-0.11764705882352944,0.17391304347826086,0.2608695652173913,0.08695652173913043
science,mistral,cot,0.4117647058823529,0.7058823529411765,0.2941176470588236,0.13043478260869565,0.043478260869565216,-0.08695652173913043
science,mistral,direct,0.8823529411764706,0.8823529411764706,0.0,0.0,0.13043478260869565,0.13043478260869565
science,mistral,rubric,0.5294117647058824,0.5882352941176471,0.05882352941176472,0.08695652173913043,0.21739130434782608,0.13043478260869565
science,qwen,cot,0.47058823529411764,0.4117647058823529,-0.05882352941176472,0.2608695652173913,0.2608695652173913,0.0
science,qwen,direct,0.5294117647058824,0.47058823529411764,-0.05882352941176472,0.2608695652173913,0.2608695652173913,0.0
science,qwen,rubric,0.47058823529411764,0.35294117647058826,-0.11764705882352938,0.2608695652173913,0.30434782608695654,0.043478260869565244
