domain,verifier,frame,strategy,Total,TP,FP,TN,FN,Avg_Latency,Avg_Verbosity,Dissociated,Accuracy,FPR,FNR,Dissociation_Rate
math,llama,other,rubric,40,33,3,4,0,4.583425255002657,129.425,0,0.925,0.42857142857142855,0.0,0.0
math,llama,self,cot,40,33,1,6,0,5.4798187725013126,205.375,0,0.975,0.14285714285714285,0.0,0.0
math,llama,self,direct,40,33,3,4,0,2.825744337497599,0.0,0,0.925,0.42857142857142855,0.0,0.0
math,llama,self,rubric,40,33,3,4,0,3.9731571675009034,124.65,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,neutral,cot,40,33,3,4,0,1.27931444249989,154.875,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,neutral,direct,40,33,3,4,0,0.6603781824960606,0.0,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,neutral,rubric,40,33,3,4,0,1.1684404700012236,154.35,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,other,cot,40,33,3,4,0,1.1202778499995474,155.075,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,other,direct,40,33,3,4,0,0.6082783500001824,0.0,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,other,rubric,40,32,1,6,1,1.1499923149996902,154.9,0,0.95,0.14285714285714285,0.030303030303030304,0.0
math,mistral,self,cot,40,33,3,4,0,1.210479774999112,164.55,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,self,direct,40,33,3,4,0,0.6607221375001245,0.0,0,0.925,0.42857142857142855,0.0,0.0
math,mistral,self,rubric,40,33,2,5,0,1.1000011549978808,159.825,0,0.95,0.2857142857142857,0.0,0.0
math,qwen,neutral,cot,40,32,2,5,1,2.7759711600017907,147.95,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,qwen,neutral,direct,40,31,2,5,2,1.7927559199975804,0.0,0,0.9,0.2857142857142857,0.06060606060606061,0.0
math,qwen,neutral,rubric,40,33,2,5,0,2.6793775300015112,126.425,1,0.95,0.2857142857142857,0.0,0.025
math,qwen,other,cot,40,32,2,5,1,2.932185800001025,155.8,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,qwen,other,direct,40,31,2,5,2,1.7895421449960849,0.0,0,0.9,0.2857142857142857,0.06060606060606061,0.0
math,qwen,other,rubric,40,31,1,6,2,2.68306692499973,123.425,0,0.925,0.14285714285714285,0.06060606060606061,0.0
math,qwen,self,cot,40,32,2,5,1,2.9493743299994093,158.975,0,0.925,0.2857142857142857,0.030303030303030304,0.0
math,qwen,self,direct,40,31,3,4,2,1.7319945224968252,0.0,0,0.875,0.42857142857142855,0.06060606060606061,0.0
math,qwen,self,rubric,40,32,4,3,1,3.156606472497515,119.05,1,0.875,0.5714285714285714,0.030303030303030304,0.025
science,deepseek,neutral,cot,40,11,7,15,7,4.8141760875005275,202.125,2,0.65,0.3181818181818182,0.3888888888888889,0.05
science,deepseek,neutral,direct,40,13,9,13,5,2.756151282502833,0.0,0,0.65,0.4090909090909091,0.2777777777777778,0.0
science,deepseek,neutral,rubric,40,15,10,12,3,3.9915063849985017,145.35,1,0.675,0.45454545454545453,0.16666666666666666,0.025
science,deepseek,other,cot,40,13,8,14,5,4.381004872501217,193.75,1,0.675,0.36363636363636365,0.2777777777777778,0.025
science,deepseek,other,direct,40,15,9,13,3,2.5100364849975447,0.0,0,0.7,0.4090909090909091,0.16666666666666666,0.0
science,deepseek,other,rubric,40,16,12,10,2,4.901301357499324,148.55,1,0.65,0.5454545454545454,0.1111111111111111,0.025
science,deepseek,self,cot,40,13,5,17,5,5.1386475500024975,215.125,1,0.75,0.22727272727272727,0.2777777777777778,0.025
science,deepseek,self,direct,40,15,9,13,3,2.7368675574987718,0.0,0,0.7,0.4090909090909091,0.16666666666666666,0.0
science,deepseek,self,rubric,40,17,11,11,1,4.365440417499485,143.7,1,0.7,0.5,0.05555555555555555,0.025
