domain,verifier,frame,strategy,Errors_Caught_Rate,Errors_Passed_Rate,Errors_Introduced_Rate,Correct_Confirmed_Rate
math,deepseek,neutral,cot,0.4015151515151515,0.5984848484848485,0.10119047619047619,0.8988095238095238
math,deepseek,neutral,direct,0.375,0.625,0.08928571428571429,0.9107142857142857
math,deepseek,neutral,rubric,0.44696969696969696,0.553030303030303,0.11607142857142858,0.8839285714285714
math,deepseek,other,cot,0.4128787878787879,0.5871212121212122,0.10119047619047619,0.8988095238095238
math,deepseek,other,direct,0.3787878787878788,0.6212121212121212,0.08630952380952381,0.9136904761904762
math,deepseek,other,rubric,0.45454545454545453,0.5454545454545454,0.125,0.875
math,deepseek,self,cot,0.4053030303030303,0.5946969696969697,0.09226190476190477,0.9077380952380952
math,deepseek,self,direct,0.375,0.625,0.09523809523809523,0.9047619047619048
math,deepseek,self,rubric,0.4318181818181818,0.5681818181818182,0.13392857142857142,0.8660714285714286
math,llama,neutral,cot,0.25,0.75,0.023809523809523808,0.9761904761904762
math,llama,neutral,direct,0.2196969696969697,0.7803030303030303,0.020833333333333332,0.9791666666666666
math,llama,neutral,rubric,0.20833333333333334,0.7916666666666666,0.023809523809523808,0.9761904761904762
math,llama,other,cot,0.25,0.75,0.03571428571428571,0.9642857142857143
math,llama,other,direct,0.23484848484848486,0.7651515151515151,0.03273809523809524,0.9672619047619048
math,llama,other,rubric,0.2196969696969697,0.7803030303030303,0.023809523809523808,0.9761904761904762
math,llama,self,cot,0.2689393939393939,0.7310606060606061,0.03273809523809524,0.9672619047619048
math,llama,self,direct,0.24242424242424243,0.7575757575757576,0.026785714285714284,0.9732142857142857
math,llama,self,rubric,0.2537878787878788,0.7462121212121212,0.020833333333333332,0.9791666666666666
math,mistral,neutral,cot,0.0946969696969697,0.9053030303030303,0.03273809523809524,0.9672619047619048
math,mistral,neutral,direct,0.05303030303030303,0.946969696969697,0.008928571428571428,0.9910714285714286
math,mistral,neutral,rubric,0.12878787878787878,0.8712121212121212,0.044642857142857144,0.9553571428571429
math,mistral,other,cot,0.12121212121212122,0.8787878787878788,0.047619047619047616,0.9523809523809523
math,mistral,other,direct,0.06439393939393939,0.9356060606060606,0.020833333333333332,0.9791666666666666
math,mistral,other,rubric,0.1590909090909091,0.8409090909090909,0.0625,0.9375
math,mistral,self,cot,0.0946969696969697,0.9053030303030303,0.03571428571428571,0.9642857142857143
math,mistral,self,direct,0.06439393939393939,0.9356060606060606,0.011904761904761904,0.9880952380952381
math,mistral,self,rubric,0.12121212121212122,0.8787878787878788,0.05952380952380952,0.9404761904761905
math,qwen,neutral,cot,0.2803030303030303,0.7196969696969697,0.047619047619047616,0.9523809523809523
math,qwen,neutral,direct,0.3106060606060606,0.6893939393939394,0.05952380952380952,0.9404761904761905
math,qwen,neutral,rubric,0.30303030303030304,0.696969696969697,0.05357142857142857,0.9464285714285714
math,qwen,other,cot,0.3143939393939394,0.6856060606060606,0.05357142857142857,0.9464285714285714
math,qwen,other,direct,0.3409090909090909,0.6590909090909091,0.06547619047619048,0.9345238095238095
math,qwen,other,rubric,0.30303030303030304,0.696969696969697,0.05654761904761905,0.9434523809523809
math,qwen,self,cot,0.2916666666666667,0.7083333333333334,0.047619047619047616,0.9523809523809523
math,qwen,self,direct,0.32575757575757575,0.6742424242424242,0.0625,0.9375
math,qwen,self,rubric,0.3106060606060606,0.6893939393939394,0.050595238095238096,0.9494047619047619
