domain,verifier,strategy,other_FPR,self_FPR,FPR_Self_Bias,other_FNR,self_FNR,FNR_Self_Bias
code,deepseek,cot,0.5384615384615384,0.5,-0.038461538461538436,0.0,0.0,0.0
code,deepseek,direct,0.38461538461538464,0.19230769230769232,-0.19230769230769232,0.0,0.0,0.0
code,deepseek,rubric,0.5,0.3076923076923077,-0.1923076923076923,0.0,0.0,0.0
code,llama,cot,0.34615384615384615,0.19230769230769232,-0.15384615384615383,0.0,0.0,0.0
code,llama,direct,0.4230769230769231,0.3076923076923077,-0.11538461538461536,0.0,0.0,0.0
code,llama,rubric,0.3076923076923077,0.19230769230769232,-0.11538461538461539,0.07142857142857142,0.07142857142857142,0.0
code,mistral,cot,0.38461538461538464,0.2692307692307692,-0.11538461538461542,0.21428571428571427,0.07142857142857142,-0.14285714285714285
code,mistral,direct,0.0,0.0,0.0,0.0,0.0,0.0
code,mistral,rubric,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,-0.1428571428571428
code,qwen,cot,0.4230769230769231,0.5,0.07692307692307693,0.0,0.0,0.0
code,qwen,direct,0.19230769230769232,0.15384615384615385,-0.038461538461538464,0.0,0.0,0.0
code,qwen,rubric,0.4230769230769231,0.4230769230769231,0.0,0.0,0.0,0.0
