domain,verifier,strategy,other_Adj_FPR,self_Adj_FPR,Adj_FPR_Self_Bias,other_Adj_FNR,self_Adj_FNR,Adj_FNR_Self_Bias
math,deepseek,cot,0.5871212121212122,0.5946969696969697,0.007575757575757569,0.10119047619047619,0.09226190476190477,-0.008928571428571425
math,deepseek,direct,0.6212121212121212,0.625,0.0037878787878787845,0.08630952380952381,0.09523809523809523,0.008928571428571425
math,deepseek,rubric,0.5454545454545454,0.5681818181818182,0.022727272727272818,0.125,0.13392857142857142,0.008928571428571425
math,llama,cot,0.75,0.7310606060606061,-0.018939393939393923,0.03571428571428571,0.03273809523809524,-0.0029761904761904726
math,llama,direct,0.7651515151515151,0.7575757575757576,-0.007575757575757569,0.03273809523809524,0.026785714285714284,-0.0059523809523809555
math,llama,rubric,0.7803030303030303,0.7462121212121212,-0.03409090909090906,0.023809523809523808,0.020833333333333332,-0.002976190476190476
math,mistral,cot,0.8787878787878788,0.9053030303030303,0.02651515151515149,0.047619047619047616,0.03571428571428571,-0.011904761904761904
math,mistral,direct,0.9356060606060606,0.9356060606060606,0.0,0.020833333333333332,0.011904761904761904,-0.008928571428571428
math,mistral,rubric,0.8409090909090909,0.8787878787878788,0.037878787878787845,0.0625,0.05952380952380952,-0.0029761904761904795
math,qwen,cot,0.6856060606060606,0.7083333333333334,0.022727272727272818,0.05357142857142857,0.047619047619047616,-0.005952380952380952
math,qwen,direct,0.6590909090909091,0.6742424242424242,0.015151515151515138,0.06547619047619048,0.0625,-0.0029761904761904795
math,qwen,rubric,0.696969696969697,0.6893939393939394,-0.007575757575757569,0.05654761904761905,0.050595238095238096,-0.005952380952380952
